number,source,destination,bytes
015,F:\VerbalVis2\backend\logs\20260630_153013_session-9761f2f5_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_015.log,0
016,F:\VerbalVis2\backend\logs\20260630_153025_session-15a37687_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_016.log,0
017,F:\VerbalVis2\backend\logs\20260701_091511_session-c7c5f1de_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_017.log,210
018,F:\VerbalVis2\backend\logs\20260701_093929_session-2fab412a_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_018.log,222
019,F:\VerbalVis2\backend\logs\20260701_093954_session-431b9692_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_019.log,0
020,F:\VerbalVis2\backend\logs\20260701_093954_session-64514713_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_020.log,0
021,F:\VerbalVis2\backend\logs\20260701_094006_session-80a2e552_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_021.log,0
022,F:\VerbalVis2\backend\logs\20260701_094006_session-935319e6_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_022.log,262
023,F:\VerbalVis2\backend\logs\20260701_094756_session-828787a9_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_023.log,0
024,F:\VerbalVis2\backend\logs\20260701_094824_session-9fab1593_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_024.log,0
025,F:\VerbalVis2\backend\logs\20260701_094906_session-038e93bf_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_025.log,0
026,F:\VerbalVis2\backend\logs\20260701_094943_session-33a21a61_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_026.log,0
027,F:\VerbalVis2\backend\logs\20260701_095159_session-c971cda8_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_027.log,0
028,F:\VerbalVis2\backend\logs\20260701_095312_session-b400a483_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_028.log,0
029,F:\VerbalVis2\backend\logs\20260701_095602_session-0e825117_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_029.log,0
030,F:\VerbalVis2\backend\logs\20260701_220717_session-39bb6aef_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_030.log,213
031,F:\VerbalVis2\backend\logs\20260702_110254_session-0499bade_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_031.log,0
032,F:\VerbalVis2\backend\logs\20260702_110332_session-40b1707d_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_032.log,0
033,F:\VerbalVis2\backend\logs\20260702_110351_session-142af927_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_033.log,0
034,F:\VerbalVis2\backend\logs\20260702_110353_session-4da396d9_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_034.log,0
035,F:\VerbalVis2\backend\logs\20260702_110354_session-0e35b482_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_035.log,0
036,F:\VerbalVis2\backend\logs\20260702_110354_session-6e13965f_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_036.log,0
037,F:\VerbalVis2\backend\logs\20260702_110354_session-daccac90_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_037.log,0
038,F:\VerbalVis2\backend\logs\20260702_111440_session-c6e2e2f9_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_038.log,0
039,F:\VerbalVis2\backend\logs\20260702_111440_session-f591b929_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_039.log,0
040,F:\VerbalVis2\backend\logs\20260702_111557_session-fda3fa99_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_040.log,0
041,F:\VerbalVis2\backend\logs\20260702_111617_session-5fe76d53_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_041.log,0
042,F:\VerbalVis2\backend\logs\20260702_111816_session-2f87def6_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_042.log,0
043,F:\VerbalVis2\backend\logs\20260702_112018_session-e0f4141c_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_043.log,911
044,F:\VerbalVis2\backend\logs\20260702_112126_session-7ba2c15a_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_044.log,0
045,F:\VerbalVis2\backend\logs\20260702_112139_session-2232b0ec_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_045.log,0
046,F:\VerbalVis2\backend\logs\20260702_112150_session-5ef1e283_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_046.log,0
047,F:\VerbalVis2\backend\logs\20260702_112209_session-6b03e4ed_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_047.log,0
048,F:\VerbalVis2\backend\logs\20260702_112218_session-b3dc2673_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_048.log,0
049,F:\VerbalVis2\backend\logs\20260702_112324_session-74708833_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_049.log,0
050,F:\VerbalVis2\backend\logs\20260702_112338_session-02beeccc_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_050.log,0
051,F:\VerbalVis2\backend\logs\20260702_112435_session-e51d7aaf_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_051.log,0
052,F:\VerbalVis2\backend\logs\20260702_112505_session-a85d77d5_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_052.log,0
053,F:\VerbalVis2\backend\logs\20260702_112844_session-187a698f_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_053.log,1595
054,F:\VerbalVis2\backend\logs\20260702_113024_session-d42e961f_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_054.log,7530
055,F:\VerbalVis2\backend\logs\20260702_114258_session-b99a7b7a_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_055.log,0
056,F:\VerbalVis2\backend\logs\20260702_114747_session-cb8cd4b3_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_056.log,0
057,F:\VerbalVis2\backend\logs\20260702_114808_session-3df6a779_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_057.log,0
058,F:\VerbalVis2\backend\logs\20260702_115358_session-f30771d7_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_058.log,0
059,F:\VerbalVis2\backend\logs\20260702_123106_session-9e232b3e_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_059.log,2193
060,F:\VerbalVis2\backend\logs\20260702_123207_session-84e256ed_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_060.log,0
061,F:\VerbalVis2\backend\logs\20260702_123639_session-251e1c90_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_061.log,3780
062,F:\VerbalVis2\backend\logs\20260702_124137_session-4032de25_qwen copy\20260702_123106_session-9e232b3e_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_062.log,2193
063,F:\VerbalVis2\backend\logs\20260702_124137_session-4032de25_qwen copy\20260702_123207_session-84e256ed_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_063.log,0
064,F:\VerbalVis2\backend\logs\20260702_124137_session-4032de25_qwen copy\20260702_123639_session-251e1c90_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_064.log,3780
065,F:\VerbalVis2\backend\logs\20260702_124137_session-4032de25_qwen copy\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_065.log,1605
066,F:\VerbalVis2\backend\logs\20260702_124137_session-4032de25_qwen\20260702_123106_session-9e232b3e_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_066.log,2193
067,F:\VerbalVis2\backend\logs\20260702_124137_session-4032de25_qwen\20260702_123207_session-84e256ed_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_067.log,0
068,F:\VerbalVis2\backend\logs\20260702_124137_session-4032de25_qwen\20260702_123639_session-251e1c90_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_068.log,3780
069,F:\VerbalVis2\backend\logs\20260702_124137_session-4032de25_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_069.log,1605
070,F:\VerbalVis2\backend\logs\20260702_130640_session-0918ed26_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_070.log,0
071,F:\VerbalVis2\backend\logs\20260702_133554_session-9ac5be14_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_071.log,259
072,F:\VerbalVis2\backend\logs\20260702_134052_session-8ce1d0a2_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_072.log,0
073,F:\VerbalVis2\backend\logs\20260702_134409_session-d692f2e4_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_073.log,1711
074,F:\VerbalVis2\backend\logs\20260702_144307_session-675d9d9e_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_074.log,0
075,F:\VerbalVis2\backend\logs\20260702_155032_session-28cb856b_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_075.log,0
076,F:\VerbalVis2\backend\logs\20260702_155110_session-a13b662a_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_076.log,0
077,F:\VerbalVis2\backend\logs\20260702_160436_session-233e7df8_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_077.log,0
078,F:\VerbalVis2\backend\logs\20260702_161048_session-919cf628_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_078.log,0
079,F:\VerbalVis2\backend\logs\20260702_161159_session-b6bb9da5_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_079.log,0
080,F:\VerbalVis2\backend\logs\20260702_161221_session-db3f5ed6_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_080.log,0
081,F:\VerbalVis2\backend\logs\20260702_161628_session-13588939_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_081.log,0
082,F:\VerbalVis2\backend\logs\20260702_161645_session-bfb31386_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_082.log,0
083,F:\VerbalVis2\backend\logs\20260702_161830_session-80f28b6e_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_083.log,0
084,F:\VerbalVis2\backend\logs\20260702_161840_session-2b57b3ab_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_084.log,286
085,F:\VerbalVis2\backend\logs\20260702_161856_session-1b4c9cb6_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_085.log,0
086,F:\VerbalVis2\backend\logs\20260702_162009_session-079c3d36_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_086.log,16275
087,F:\VerbalVis2\backend\logs\20260702_165617_session-c1729533_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_087.log,0
088,F:\VerbalVis2\backend\logs\20260702_165957_session-4b4d8e6e_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_088.log,0
089,F:\VerbalVis2\backend\logs\20260702_170021_session-f7a20b14_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_089.log,0
090,F:\VerbalVis2\backend\logs\20260702_174006_session-5514804b_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_090.log,8029
091,F:\VerbalVis2\backend\logs\20260702_174653_session-04b4a186_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_091.log,0
092,F:\VerbalVis2\backend\logs\20260702_174714_session-91e6f3ec_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_092.log,8357
093,F:\VerbalVis2\backend\logs\20260702_183132_session-90fd64a6_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_093.log,0
094,F:\VerbalVis2\backend\logs\20260702_184943_session-06960f8f_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_094.log,0
095,F:\VerbalVis2\backend\logs\20260702_185049_session-b02f4e78_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_095.log,0
096,F:\VerbalVis2\backend\logs\20260702_203746_session-fdd786e1_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_096.log,0
097,F:\VerbalVis2\backend\logs\20260702_204428_session-3cc8db4e_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_097.log,0
098,F:\VerbalVis2\backend\logs\20260702_214900_session-d2975a22_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_098.log,0
099,F:\VerbalVis2\backend\logs\20260702_214911_session-cb4c2dd3_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_099.log,0
100,F:\VerbalVis2\backend\logs\20260703_110907_session-4641f82c_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_100.log,13438
101,F:\VerbalVis2\backend\logs\20260703_112746_session-a8a13f71_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_101.log,10831
102,F:\VerbalVis2\backend\logs\20260703_181629_session-54eeef86_qwen\conversation.log,F:\VerbalVis2\backend\formative study log\formative intent log\conversation_102.log,0
